9.999999999999999547e-07 4.999999999999999562e-06 9.999999999999999752e-20 4.715592992070653799e-02 1.199747148493798821e-01 3.756615143941040014e-01 3.743146697544475344e-04 2.183621654842801251e-03 7.269078493534733000e+15 0.000000000000000000e+00 0.000000000000000000e+00 3.363774222583475780e-12 4.904099392566765317e-12 6.230816079556385682e-18 1.324371367292876767e-17 8.623618772042352942e-01 8.595547054077398164e-01
9.999999999999999547e-07 4.999999999999999562e-06 1.258925411794171324e-19 4.230820494109149149e-02 1.204438801483606047e-01 3.950375289494267306e-01 4.622350891963543720e-04 2.195601812816928931e-03 5.728701809675400000e+15 0.000000000000000000e+00 0.000000000000000000e+00 3.743833917399457057e-12 5.830323667569293822e-12 7.638070149552264497e-18 1.852404485226598672e-17 8.574364330627876063e-01 8.539148320482232712e-01
9.999999999999999547e-07 4.999999999999999562e-06 1.584893192461110884e-19 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
9.999999999999999547e-07 4.999999999999999562e-06 1.995262314968882956e-19 3.410169265643390318e-02 1.208637656128540572e-01 nan 7.073265563369880715e-04 2.537131762929142366e-03 3.527704266917015500e+15 0.000000000000000000e+00 nan nan nan nan nan nan nan
9.999999999999999547e-07 4.999999999999999562e-06 2.511886431509571681e-19 nan nan nan nan nan nan nan nan nan nan nan nan nan nan
9.999999999999999547e-07 4.999999999999999562e-06 3.162277660168379097e-19 2.760959328499719770e-02 1.231068760484101965e-01 4.889154892108693029e-01 1.026722755559568781e-03 2.867677167032004013e-03 2.257016488488709000e+15 0.000000000000000000e+00 0.000000000000000000e+00 7.403380265560960101e-12 1.150722188212570597e-11 2.939826518759535600e-17 7.102358068297246551e-17 8.447709640482806703e-01 8.398959005075853357e-01
9.999999999999999547e-07 4.999999999999999562e-06 3.981071705534985296e-19 2.495953836927044742e-02 1.205374779933083562e-01 5.306521187970634212e-01 1.215966261042500515e-03 3.031332527952250357e-03 1.678105102983672750e+15 0.000000000000000000e+00 2.022240492328958219e-03 8.753181200337651203e-12 1.359616995804415151e-11 4.092337568642662997e-17 9.873537552999056381e-17 8.411060396740640543e-01 8.358376363662657349e-01
9.999999999999999547e-07 4.999999999999999562e-06 5.011872336272714938e-19 2.259200893579546218e-02 1.177960921899099817e-01 5.826043416541412112e-01 1.418235566742414829e-03 3.196753187414874513e-03 1.248211650693027500e+15 0.000000000000000000e+00 4.980146744833914563e-03 1.039928446191265112e-11 1.614030951058371740e-11 5.786040319507317695e-17 1.393792928204113262e-16 8.392778553900538396e-01 8.335494318933994728e-01
9.999999999999999547e-07 4.999999999999999562e-06 6.309573444801943140e-19 2.047482378716514173e-02 1.220427059334441428e-01 6.485852066798577509e-01 1.622779544382357744e-03 3.368002233229213434e-03 1.059687224296162500e+15 0.000000000000000000e+00 7.670653358170504039e-03 1.192199174046504422e-11 1.858381342244425638e-11 7.739650152947216806e-17 1.880586741876145821e-16 8.440217884292932071e-01 8.377702073872593802e-01
9.999999999999999547e-07 4.999999999999999562e-06 7.943282347242788971e-19 1.857394015524206632e-02 1.226523764091697610e-01 7.298173321869660946e-01 1.842752057629426640e-03 3.505932628582516131e-03 8.451492951410825000e+14 2.398822689449189687e-03 1.079348288169809308e-02 1.387359389134001826e-11 2.160672949599872954e-11 1.064953766915319930e-16 2.583038434115911698e-16 8.477852960826017803e-01 8.410129581935342769e-01
